sample_id,crop_path,mask_path,split
IMG_0001_plate_01,data\crops\IMG_0001_plate_01.jpg,data\masks\IMG_0001_plate_01.png,train
IMG_0002_plate_01,data\crops\IMG_0002_plate_01.jpg,data\masks\IMG_0002_plate_01.png,train
IMG_0003_plate_01,data\crops\IMG_0003_plate_01.jpg,data\masks\IMG_0003_plate_01.png,train
IMG_0004_plate_01,data\crops\IMG_0004_plate_01.jpg,data\masks\IMG_0004_plate_01.png,train
IMG_0004_plate_02,data\crops\IMG_0004_plate_02.jpg,data\masks\IMG_0004_plate_02.png,train
IMG_0004_plate_03,data\crops\IMG_0004_plate_03.jpg,data\masks\IMG_0004_plate_03.png,train
IMG_0004_plate_04,data\crops\IMG_0004_plate_04.jpg,data\masks\IMG_0004_plate_04.png,val
IMG_0004_plate_05,data\crops\IMG_0004_plate_05.jpg,data\masks\IMG_0004_plate_05.png,train
IMG_0005_plate_01,data\crops\IMG_0005_plate_01.jpg,data\masks\IMG_0005_plate_01.png,test
IMG_0005_plate_02,data\crops\IMG_0005_plate_02.jpg,data\masks\IMG_0005_plate_02.png,train
IMG_0005_plate_03,data\crops\IMG_0005_plate_03.jpg,data\masks\IMG_0005_plate_03.png,train
IMG_0006_plate_01,data\crops\IMG_0006_plate_01.jpg,data\masks\IMG_0006_plate_01.png,val
IMG_0006_plate_02,data\crops\IMG_0006_plate_02.jpg,data\masks\IMG_0006_plate_02.png,test
IMG_0006_plate_03,data\crops\IMG_0006_plate_03.jpg,data\masks\IMG_0006_plate_03.png,test
IMG_0006_plate_04,data\crops\IMG_0006_plate_04.jpg,data\masks\IMG_0006_plate_04.png,test
IMG_0006_plate_05,data\crops\IMG_0006_plate_05.jpg,data\masks\IMG_0006_plate_05.png,train
IMG_0007_plate_01,data\crops\IMG_0007_plate_01.jpg,data\masks\IMG_0007_plate_01.png,val
IMG_0007_plate_02,data\crops\IMG_0007_plate_02.jpg,data\masks\IMG_0007_plate_02.png,train
IMG_0007_plate_03,data\crops\IMG_0007_plate_03.jpg,data\masks\IMG_0007_plate_03.png,train
IMG_0008_plate_01,data\crops\IMG_0008_plate_01.jpg,data\masks\IMG_0008_plate_01.png,test
IMG_0008_plate_02,data\crops\IMG_0008_plate_02.jpg,data\masks\IMG_0008_plate_02.png,train
IMG_0008_plate_03,data\crops\IMG_0008_plate_03.jpg,data\masks\IMG_0008_plate_03.png,train
IMG_0008_plate_04,data\crops\IMG_0008_plate_04.jpg,data\masks\IMG_0008_plate_04.png,test
IMG_0008_plate_05,data\crops\IMG_0008_plate_05.jpg,data\masks\IMG_0008_plate_05.png,train
IMG_0009_plate_01,data\crops\IMG_0009_plate_01.jpg,data\masks\IMG_0009_plate_01.png,train
IMG_0009_plate_02,data\crops\IMG_0009_plate_02.jpg,data\masks\IMG_0009_plate_02.png,train
IMG_0009_plate_03,data\crops\IMG_0009_plate_03.jpg,data\masks\IMG_0009_plate_03.png,train
IMG_0009_plate_04,data\crops\IMG_0009_plate_04.jpg,data\masks\IMG_0009_plate_04.png,train
IMG_0010_plate_01,data\crops\IMG_0010_plate_01.jpg,data\masks\IMG_0010_plate_01.png,train
IMG_0010_plate_02,data\crops\IMG_0010_plate_02.jpg,data\masks\IMG_0010_plate_02.png,train
IMG_0010_plate_03,data\crops\IMG_0010_plate_03.jpg,data\masks\IMG_0010_plate_03.png,val
